reviewId,userName,score,thumbsUpCount,reviewCreatedVersion,time,processed_text,sentiment
44ee987a-deae-4362-a65f-af4e488a300e,Riva Khaeen,1,0,8.2.11.186835846.release,2023-03-30 17:16:59,Rayi,0.0
7800bc74-8fc2-4997-81f2-4609a7d097aa,Dikesh Maharjan,1,0,2023.03.05.518353126.Release,2023-03-30 03:04:48,I have tried everything and enabled every single options but the notification is not working. Every time I have to open app and refresh it to view my mail.,0.0
2afe0b23-1a13-4df9-bece-e2fdcaf2ab71,emmanuel ifeanyi,1,0,2020.03.15.302138189.release,2023-03-29 09:44:42,Very much good,0.4902
e9396f8b-5149-445f-83c1-fa4af15468e2,saikiran saikiran,5,0,2019.10.20.278647676.release,2023-03-28 16:48:44,saikrisain.,0.0
10fa6370-abf9-4982-9b21-288ff838b754,Ali Asgar,5,0,2023.02.19.514578027.Release,2023-03-28 04:35:11,good 👍 app ☺️,0.4404
ff35f2b2-c132-4309-a764-6024670f0b4a,Tafseerul Quran BD Pirijpur TV,5,0,2023.02.19.514578027.Release,2023-03-27 12:15:14,' nice,0.4215
a20302c9-8134-4429-8dd7-6321b7a58a63,Success Illuminati,3,0,2022.05.01.449051655.Release,2023-03-26 13:09:18,Typing errors noted. Uninstall hot games browser apps as they do not go update all emails ids passwords . i b in touch.,-0.34
4dec4de1-0df0-45bb-bcfc-7008288e0439,Sai Rishi,5,0,2023.02.19.514578027.Release,2023-03-25 15:43:32,Its better to use,0.4404
16d40128-60fd-4804-b0e2-567c50f2cd03,Robin Landis,5,0,2023.02.19.514578027.Release,2023-03-24 23:04:41,Love everything about Gmail!! No problems.,0.2225
e55d1ed0-d5b4-4932-baa8-24f0722610f0,Noli Alpabete,5,0,2022.11.13.490644112.Release,2023-03-24 05:14:01,Wena,0.0
d3f28b01-75b0-4f44-a0dd-5b1084c7edcd,Paulus Wardoyo,5,0,2023.02.19.514578027.Release,2023-03-23 12:35:51,It's OK,0.4466
830fd087-2688-4270-a6a7-657678822ad5,Tom Marchitelli,3,0,2023.02.19.514578027.Release,2023-03-22 17:25:37,Last 2 days everytime I open my mail all the emails in my inbox are mysteriously in the trash!! I never deleted them! Plus all my folders are emptied into trash as well! Idk what the hell is happening!!,-0.7762
d2910e40-c3a0-49b9-8cf5-973136edd8fd,Lakhan Ravidas,5,0,5.7.105901136.release,2023-03-22 00:00:46,Loki I,0.0
8f1a44e5-adc1-4354-a750-ba2df04c899b,Micai DABUET,5,0,2023.02.19.514578027.Release,2023-03-21 07:58:55,Good job,0.4404
b24e8d26-49d6-493f-b583-8a6e73337a4c,Orlando Brown,1,5,2023.02.19.514578027.Release,2023-03-20 12:51:29,"If you have a samsung or apple phone just use the mail app built in. Gmail ads is horrible you can't select all mail and then delete, you have to go one by one to delete. I use my Samsung mail it's way better and you can't create email folders on the Gmail app, if you can it ain't easy to do. I use my Samsung mail app, just WAY BETTER!",-0.1227
7b4fb26e-bb43-4474-8815-8815a9977aff,manjot khalsa,5,0,8.2.11.186835846.release,2023-03-19 15:13:06,Good,0.4404
866855b8-6b6c-4478-b6c1-407c104ae238,Sazali Yatiman,5,0,2022.08.07.469547715.Release,2023-03-18 20:26:43,"""An official website of the United States government Here is how you know NIH National Library of Medicine NCBI PubChem Search PubChemMenu PATENT SUMMARY Process for purifying adiponitrile Cite Download Patent US-4147717-A Inventor KERSHAW BERNARD J (CA) Assignee DU PONT CANADA (CA) Country United States Dates Priority: 1975/08/26 Grant: 1979/04/03 Description This web page summarizes information in PubChem about patent US-4147717-A. This includes chemicals mentioned, as reported by PubChem",0.7964
b31b925a-1fc1-49d0-bce2-dbce0d97ada7,masud apon,5,0,2022.12.25.498226572.Release,2023-03-18 04:34:55,pfg,0.0
b685fab4-673b-4eec-96e9-94ca2d340c99,Md Aslam,5,0,2023.02.19.514578027.Release,2023-03-17 09:23:50,Very good app,0.4927
c442ff0b-1970-45e6-9b4b-83774382ee55,Ankit Bose,1,0,2023.02.19.514578027.Release,2023-03-16 14:23:58,"My Gmail not working, No Option for update showing in play store, please resolve this issues.. Priority basis.",0.8013
a97c2e57-eb58-45f1-a9a3-2c69aed0de95,Piries Machokwende,5,0,7.11.26.179049568.release,2023-03-15 20:26:21,Good,0.4404
0d4abc9e-88f4-467a-a486-751ec940a74d,Greg Monk,1,0,2021.01.24.356386247.Release,2023-03-15 05:33:11,Data thieves. Data logging and selling and piss poor security on their email and services available using it. Google is the number one source of spam I receive yet they offer no convenient way to help stop it. I guess that would lessen the data the collect...,-0.8625
d7e0b191-a176-47c1-88ad-c8fc4bf7f138,Henry Chukwurah,5,0,2021.01.24.356386247.Release,2023-03-14 12:27:48,Cool,0.3182
7c4e8491-6f0e-497e-8097-6a086189e432,Bernard Akpan,4,0,2022.07.24.464902190.Release,2023-03-13 20:25:21,Great,0.6249
4d4e268d-1fd8-42c0-9e21-79222a7b5054,Lala ji Solanki,5,0,2023.02.19.514578027.Release,2023-03-13 08:49:17,લાલાજી ઠાકોર123,0.0
8e203332-b349-482f-ac1b-a2141f48e859,Ashenafi Andarsa,5,0,2022.03.06.435481167.Release,2023-03-12 13:20:49,Good,0.4404
13bf046c-8079-41dd-8b89-4811a5c178e3,Raja Singh,5,0,2023.02.19.514578027.Release,2023-03-11 22:08:33,Nice app,0.4215
78cdf93c-2ecc-4a26-a03f-792819bfb4d6,Ikram Hussain,1,0,9.2.3.235065705.release,2023-03-11 06:18:53,Nice,0.4215
309ee15c-105d-4b85-8654-714694e7def0,rohit singh,1,0,2023.02.05.512982913.Release,2023-03-10 14:31:08,"Very tough with more than one account It is very difficult to use as compared to other apps available in the market In a way, it is not used for anything other than the advertisement of other companies by advertising mails.",-0.5553
d7ffeb43-d568-417b-a8bf-2e9e76f14813,Rajveer Singh thakur,5,0,2019.09.01.268168002.release,2023-03-10 01:05:13,So nice,0.4754
1472157d-b939-4667-9b92-0f74b0a0093a,Nyasha Mabika,4,1,2019.10.20.278647676.release,2023-03-09 11:36:39,quite workable with,0.0
1a4e8d6e-37a2-405a-bf9c-e4c159ccb7d5,Moon Bhatti,5,2,2023.02.05.512982913.Release,2023-03-08 17:02:35,That most easy and most useful for every user that's why it is always stying top,0.8012
87e2364e-edbd-410b-8261-abab954b1652,Kristin B,5,0,2023.02.05.512982913.Release,2023-03-08 00:58:46,All my emails in one. Works great 📧,0.6249
90d12ecf-a9c8-4a88-a6b0-6a21759e93dc,Priyanshu saini,5,0,8.10.21.220187835.release,2023-03-07 06:47:14,Kailash ma,0.0
a90f6214-e90b-435a-867a-c1fcb3fc7766,Chand Butt,5,0,2023.02.05.512982913.Release,2023-03-06 13:33:35,Chandbutt,0.0
efc6a3d5-a935-4aa0-9f43-179b40c20833,Fatima Nawab,5,2,2023.02.05.512982913.Release,2023-03-05 19:33:50,Nice app,0.4215
60a97b87-9ea3-4617-879c-458e72eed147,Thys Kritzinger,1,232,2023.02.05.512982913.Release,2023-03-05 05:03:59,There is something seriously wrong with the syncing of this app. I have a S22 Ultra and this app does not notify me when a new email comes through. I have tried outlook and that works perfectly. I have tried everything to get it to work. Will be sticking to outlook for now. Please fix this.,0.4019
936c80b3-40b6-42e6-99db-d41861504fb7,Pravin Koli,5,0,2023.01.08.501398065.Release,2023-03-04 14:27:37,Parvin koli,0.0
1164c913-5ad1-4801-ba49-ffe2aaa2f102,Joan Banglod,3,0,2023.02.05.512982913.Release,2023-03-03 22:03:39,"Can you please make us remove all of the necessary emails, I cannot send a email if the storage is full",0.3182
ab2f657d-3c7a-4955-a367-75b5aceea276,Md Safiqul Islam Shaik,5,0,8.10.21.220187835.release,2023-03-03 08:32:31,Excellent,0.5719
854c5a89-1ad9-4a7f-a229-913ab9c027b3,King “SaSsin” Howie,5,0,2023.01.22.509649758.Release,2023-03-02 14:41:16,Love Gmail,0.6369
250bc94b-07e7-46a1-bb06-d6571af2894b,CARMEL MENSAH,2,0,2022.12.25.498226572.Release,2023-03-01 21:24:59,Is the most secured app ever,0.4576
b795ef51-74d1-488d-bbc4-74276fd05d1b,Anoj Rajak,4,0,2023.01.22.509649758.Release,2023-03-01 07:05:37,9p0 pp 9 lol oo0 loo oooool,0.4215
6bb796a2-9fb1-45c8-b0db-8d4f7a4ca3c6,Lucas Dkhar,5,0,2023.01.08.506205950.Release,2023-02-28 12:22:29,Good app,0.4404
91d19b63-416b-412e-ae98-46d3ecad5fba,Md Tufan,5,0,2023.01.22.509649758.Release,2023-02-27 16:53:47,Give,0.0
45532108-002f-4b69-acc6-23e0ee4e295f,Amit Kumar,5,0,2023.01.22.509649758.Release,2023-02-26 22:37:57,Very good this application.,0.4927
44db8d07-24fe-459d-b624-efa21df5d4b8,Sangami Sangami,5,0,8.10.21.220187835.release,2023-02-26 03:08:59,Super,0.5994
397bc310-7e35-45a1-8a92-2a894827c182,Azad Kumar,5,0,2022.09.18.479203120.Release,2023-02-25 08:20:04,It is too good aap but it's downloads was 10+billion but the world has only 8 billion people,0.2382
027ae9f3-2980-41c4-8cf1-3742ab90ab52,Karim King,1,0,6.9.133109232.release,2023-02-24 13:46:50,Good to afford,0.4404
41f34ac7-0c0e-4a08-bd79-e277141a0544,Kattie Turley,4,0,2023.01.22.509649758.Release,2023-02-23 21:43:09,Love it all,0.6369
